259.972 267.199 288.541 33.6164
260.067 324.888 710.863 36.0336
260.277 337.79 453.416 20.1358
260.12 424.633 302.53 36.7109
259.962 431.408 568.53 35.5505
260.282 453.338 396.095 36.627
259.818 532.201 646.424 16.4072
260.104 546.225 382.105 8.72082
260.118 617.683 275.074 36.5915
260.019 625.069 417.66 54.8729
260.234 640.262 525.761 7.41092
260.35 654.356 317.673 49.7514
259.896 689.598 281.9 42.1412
260.016 696.827 425.043 28.1474
267.421 260.758 725.308 18.3109
266.89 295.713 310.061 25.2164
266.107 309.993 439.684 17.2241
265.783 367.459 439.105 3.25311
267.433 389.086 581.593 18.5255
267.36 496.088 345.96 14.1861
267.994 496.378 461.003 29.5536
267.615 546.984 632.146 7.60691
266.716 575.013 619.008 14.4696
267.953 589.516 575.452 36.9211
267.197 596.28 647.095 35.0383
267.12 646.973 732.732 36.3892
267.546 675.516 296.173 34.0423
267.843 676.197 511.146 57.0613
267.387 675.259 689.515 38.9499
267.588 710.703 517.254 20.1634
267.799 725.227 260.542 66.6678
274.281 323.443 696.831 23.7762
275.432 381.543 482.474 29.8707
274.46 403.073 396.784 19.2788
274.282 459.902 330.943 10.2393
274.025 489.579 704.552 22.5137
274.785 532.154 311.166 21.3737
274.193 582.611 668.124 25.984
274.472 603.575 582.332 20.8045
274.079 617.944 375.143 34.0957
274.717 618.612 431.935 30.2424
274.233 625.554 697.612 45.2145
274.295 632.655 396.158 20.2828
274.952 675.583 532.335 35.1691
274.61 689.569 560.858 22.1077
274.832 732.759 568.078 12.0595
281.805 274.793 317.659 41.1414
281.859 281.399 574.838 36.6089
282.507 310.719 675.602 22.8763
281.232 367.219 503.309 14.7478
281.867 381.491 625.306 18.3968
280.99 403.623 589.244 32.4923
281.689 518.115 575.787 14.2008
281.636 596.186 696.711 26.9832
281.687 604.036 310.754 35.5016
282.323 603.236 674.892 31.7832
281.741 618.197 268.139 24.7232
281.006 645.887 410.83 25.4659
282.236 696.665 696.316 25.8937
281.278 732.097 725.276 22.4166
288.276 288.731 610.961 26.0926
289.441 295.45 324.278 35.2919
288.346 447.38 497.466 26.1592
288.665 461.012 389.645 25.1791
289.305 503.713 318.747 22.2425
288.88 525.483 382.03 19.7068
288.258 538.966 452.795 24.1685
288.692 589.253 452.958 13.8937
288.418 646.871 431.603 17.3461
289.087 655.016 611.15 17.4718
288.342 710.849 510.541 17.8596
289.169 731.721 267.632 20.5164
295.663 260.094 296.076 43.2555
296.409 273.803 546.668 29.4521
296.376 302.661 718.217 27.5299
295.906 368.012 274.918 19.0774
296.074 431.49 538.762 13.9361
296.369 432.373 725.498 25.2618
296.007 496.21 475.306 25.2835
295.975 546.703 482.097 31.2531
296.786 553.771 360.026 14.4092
295.643 589.084 338.045 46.4863
295.403 597.23 418.363 19.6646
296.093 617.858 381.864 19.0784
296.685 617.964 568.381 12.2357
296.28 631.674 467.638 15.71
295.333 668.753 539.147 15.4496
302.919 360.598 481.878 5.14487
302.387 403.635 288.193 29.5669
303.726 410.846 575.484 20.4085
303.305 446.714 503.634 23.019
303.266 468.227 353.696 19.2267
302.988 467.382 503.07 24.4242
302.251 467.856 732.643 41.8252
302.802 568.213 452.947 26.1881
302.781 575.356 288.807 30.9679
303.427 574.979 403.174 10.6904
302.903 582.492 317.105 27.717
303.348 610.897 711.298 35.8711
303.287 646.235 696.985 17.8065
302.412 654.776 310.838 28.5594
302.639 718.47 682.844 18.5085
309.939 281.98 568.467 51.4598
310.832 382.105 575.041 14.7486
310.231 396.92 668.145 17.6324
309.56 410.065 482.033 13.3272
310.376 424.966 682.297 26.1636
310.014 432.215 517.819 16.6769
309.985 446.048 725.344 26.8455
310.046 459.971 632.345 25.335
311.481 490.157 267.989 25.2908
310.189 496.821 288.739 25.4048
310.544 532.415 375.088 18.8281
310.255 545.857 553.455 16.856
310.692 589.329 611.341 25.8243
310.325 618.544 281.425 43.272
309.441 632.316 725.057 8.03862
311.203 654.31 603.881 15.2753
317.771 267.836 346.009 25.3081
317.032 267.517 496.536 24.0495
317.256 281.809 625.347 22.1787
317.444 289.156 639.135 24.0975
317.573 310.448 653.721 22.0438
317.009 338.718 482.496 16.9638
317.341 345.644 646.324 6.12139
317.29 403.459 617.605 28.479
317.524 424.468 711.083 16.8889
317.787 467.037 596.053 22.9145
317.826 474.242 481.899 24.7305
317.103 532.702 345.699 17.397
316.592 553.616 302.909 20.2192
317.556 567.685 682.86 34.3746
317.14 574.351 259.705 41.0543
317.528 582.122 690.037 15.3637
316.793 596.938 275.041 36.5673
317.335 603.72 389.422 18.1335
317.54 610.875 632.509 18.0299
317.22 632.064 597.302 36.3145
317.72 668.108 653.751 14.1879
316.914 682.559 331.301 12.7917
325.206 317.721 353.13 16.8222
324.599 324.652 417.406 8.01536
323.887 331.868 626.415 25.2219
324.567 382.084 331.094 19.8334
324.093 410.511 331.632 22.3087
324.168 432.551 288.93 16.651
325.599 452.947 431.756 12.0263
325.307 460.463 718.923 18.7139
324.513 488.746 417.935 23.4025
324.637 510.319 732.74 9.74245
323.696 518.705 268.193 25.003
324.559 603.346 410.24 9.66867
324.665 669.598 360.665 12.8852
332.118 281.785 568.117 40.1881
331.954 289.051 483.088 33.9215
330.871 302.987 397.32 27.1974
331.658 316.865 675.059 21.3944
332.402 374.08 489.81 22.3474
331.241 424.157 540.044 14.1433
331.485 460.528 618.92 16.1317
332.62 510.813 524.487 35.3402
332.264 517.577 510.727 34.8007
331.263 610.637 561.483 33.6758
331.667 625.369 274.321 36.2251
331.019 725.534 288.07 36.027
339.53 260.467 681.76 23.3126
339.094 281.368 589.264 43.332
339.34 296.763 332.25 21.0417
338.472 353.319 446.266 16.6311
339.228 417.55 618.415 38.2186
338.413 424.59 639.88 15.3365
339.383 432.056 575.051 18.4643
338.365 553.349 725.202 15.6585
338.469 582.665 524.852 12.5366
338.731 619.565 482.057 16.0265
338.919 653.25 274.904 42.1838
338.62 655.012 403.756 25.2732
338.06 668.245 303.534 14.8978
338.701 675.304 316.904 30.9785
338.797 703.624 696.62 13.2483
339.456 711.293 382.151 9.13776
338.426 718.207 732.621 37.1504
345.456 274.2 660.92 25.3184
345.94 310.852 503.965 15.9245
347.065 361.037 597.097 18.1881
346.154 404.522 259.294 24.926
345.574 431.736 288.526 21.0643
345.192 452.931 332.116 22.0982
346.221 603.494 632.782 14.5816
346.491 603.574 732.416 23.803
