run	time_min	mean_dist
1	8.009918	0.738823
2	7.927145	0.736646
3	8.535720	0.712695
4	11.699875	0.755106
5	9.087711	0.754232
6	9.873166	0.703598
7	10.418029	0.667991
8	6.647329	0.784225
9	9.169220	0.725884
10	7.943442	0.784923
