run	time_min	mean_dist
1	31.881032	13.477644
2	27.491006	13.590202
3	33.735890	13.412484
4	30.870802	13.416301
5	30.218054	13.513457
6	26.242226	13.623781
7	29.856887	13.538758
8	32.939640	13.564261
9	20.330956	13.571873
10	33.097281	13.486723
