run	time_min	mean_dist
1	9.412093	13.604448
2	10.412097	13.442295
3	10.315845	13.471054
4	10.722759	13.464794
5	9.657682	13.560097
6	9.668473	13.427258
7	10.546889	13.428259
8	10.936369	13.430488
9	10.341626	13.482888
10	10.013958	13.508567
